r,1,2,3,4,5,6
1.85522222,1.19E+04,3.51E+04,3.93E+04,3.51E+04,4.49E+04,4.72E+04
1.85983333,1.20E+04,3.52E+04,3.92E+04,3.50E+04,4.47E+04,4.71E+04
1.86444444,1.22E+04,3.52E+04,3.91E+04,3.49E+04,4.46E+04,4.70E+04
1.86905556,1.23E+04,3.53E+04,3.90E+04,3.49E+04,4.44E+04,4.69E+04
1.87366667,1.24E+04,3.53E+04,3.89E+04,3.48E+04,4.42E+04,4.68E+04
1.87827778,1.26E+04,3.54E+04,3.88E+04,3.47E+04,4.40E+04,4.66E+04
1.88288889,1.27E+04,3.54E+04,3.87E+04,3.47E+04,4.39E+04,4.66E+04
1.8875,1.29E+04,3.55E+04,3.86E+04,3.46E+04,4.37E+04,4.65E+04
1.89211111,1.30E+04,3.55E+04,3.85E+04,3.46E+04,4.35E+04,4.64E+04
1.89672222,1.31E+04,3.55E+04,3.84E+04,3.45E+04,4.34E+04,4.63E+04
1.90133333,1.33E+04,3.56E+04,3.84E+04,3.45E+04,4.32E+04,4.62E+04
1.90594444,1.34E+04,3.56E+04,3.83E+04,3.44E+04,4.31E+04,4.61E+04
1.91055556,1.35E+04,3.57E+04,3.82E+04,3.43E+04,4.29E+04,4.60E+04
1.91516667,1.37E+04,3.57E+04,3.81E+04,3.43E+04,4.28E+04,4.59E+04
1.91977778,1.38E+04,3.58E+04,3.80E+04,3.42E+04,4.26E+04,4.58E+04
1.92438889,1.39E+04,3.58E+04,3.79E+04,3.42E+04,4.25E+04,4.57E+04
1.929,1.41E+04,3.59E+04,3.79E+04,3.41E+04,4.23E+04,4.56E+04
1.93361111,1.42E+04,3.59E+04,3.78E+04,3.41E+04,4.22E+04,4.56E+04
1.93822222,1.43E+04,3.60E+04,3.77E+04,3.40E+04,4.20E+04,4.55E+04
1.94283333,1.45E+04,3.60E+04,3.76E+04,3.40E+04,4.19E+04,4.54E+04
1.94744444,1.46E+04,3.61E+04,3.75E+04,3.39E+04,4.17E+04,4.53E+04
1.95205556,1.47E+04,3.61E+04,3.75E+04,3.39E+04,4.16E+04,4.52E+04
1.95666667,1.49E+04,3.61E+04,3.74E+04,3.38E+04,4.14E+04,4.52E+04
1.96127778,1.50E+04,3.62E+04,3.73E+04,3.38E+04,4.13E+04,4.51E+04
1.96588889,1.51E+04,3.62E+04,3.72E+04,3.37E+04,4.12E+04,4.50E+04
1.9705,1.53E+04,3.63E+04,3.72E+04,3.37E+04,4.10E+04,4.50E+04
1.97511111,1.54E+04,3.63E+04,3.71E+04,3.37E+04,4.09E+04,4.49E+04
1.97972222,1.55E+04,3.64E+04,3.70E+04,3.36E+04,4.08E+04,4.48E+04
1.98433333,1.56E+04,3.64E+04,3.69E+04,3.36E+04,4.06E+04,4.47E+04
1.98894444,1.58E+04,3.64E+04,3.69E+04,3.35E+04,4.05E+04,4.47E+04
1.99355556,1.59E+04,3.65E+04,3.68E+04,3.35E+04,4.04E+04,4.46E+04
1.99816667,1.60E+04,3.65E+04,3.67E+04,3.34E+04,4.02E+04,4.45E+04
2.00277778,1.61E+04,3.66E+04,3.67E+04,3.34E+04,4.01E+04,4.45E+04
2.00738889,1.63E+04,3.66E+04,3.66E+04,3.34E+04,4.00E+04,4.44E+04
2.012,1.64E+04,3.66E+04,3.65E+04,3.33E+04,3.99E+04,4.44E+04
2.01661111,1.65E+04,3.67E+04,3.65E+04,3.33E+04,3.98E+04,4.43E+04
2.02122222,1.66E+04,3.67E+04,3.64E+04,3.32E+04,3.96E+04,4.42E+04
2.02583333,1.68E+04,3.68E+04,3.63E+04,3.32E+04,3.95E+04,4.42E+04
2.03044444,1.69E+04,3.68E+04,3.63E+04,3.32E+04,3.94E+04,4.41E+04
2.03505556,1.70E+04,3.68E+04,3.62E+04,3.31E+04,3.93E+04,4.41E+04
2.03966667,1.71E+04,3.69E+04,3.61E+04,3.31E+04,3.92E+04,4.40E+04
2.04427778,1.72E+04,3.69E+04,3.61E+04,3.31E+04,3.91E+04,4.39E+04
2.04888889,1.74E+04,3.69E+04,3.60E+04,3.30E+04,3.90E+04,4.39E+04
2.0535,1.75E+04,3.70E+04,3.60E+04,3.30E+04,3.88E+04,4.38E+04
2.05811111,1.76E+04,3.70E+04,3.59E+04,3.30E+04,3.87E+04,4.38E+04
2.06272222,1.77E+04,3.71E+04,3.58E+04,3.29E+04,3.86E+04,4.37E+04
2.06733333,1.78E+04,3.71E+04,3.58E+04,3.29E+04,3.85E+04,4.37E+04
2.07194444,1.79E+04,3.71E+04,3.57E+04,3.29E+04,3.84E+04,4.36E+04
2.07655556,1.80E+04,3.72E+04,3.57E+04,3.28E+04,3.83E+04,4.36E+04
2.08116667,1.82E+04,3.72E+04,3.56E+04,3.28E+04,3.82E+04,4.35E+04
2.08577778,1.83E+04,3.72E+04,3.56E+04,3.28E+04,3.81E+04,4.35E+04
2.09038889,1.84E+04,3.73E+04,3.55E+04,3.27E+04,3.80E+04,4.34E+04
