r,1,2,3,4,5,
0.9450445,3.55E+04,1.63E+05,1.81E+05,1.84E+05,2.17E+05,
0.94545955,3.54E+04,1.63E+05,1.81E+05,1.84E+05,2.17E+05,
0.94587459,3.53E+04,1.63E+05,1.81E+05,1.84E+05,2.17E+05,
0.94628963,3.51E+04,1.63E+05,1.81E+05,1.84E+05,2.17E+05,
0.94670467,3.50E+04,1.63E+05,1.81E+05,1.84E+05,2.17E+05,
0.94711971,3.49E+04,1.63E+05,1.81E+05,1.83E+05,2.17E+05,
0.94753475,3.48E+04,1.63E+05,1.81E+05,1.83E+05,2.17E+05,
0.94794979,3.47E+04,1.63E+05,1.80E+05,1.83E+05,2.17E+05,
0.94836484,3.46E+04,1.63E+05,1.80E+05,1.83E+05,2.17E+05,
0.94877988,3.45E+04,1.63E+05,1.80E+05,1.83E+05,2.16E+05,
0.94919492,3.44E+04,1.63E+05,1.80E+05,1.83E+05,2.16E+05,
0.94960996,3.43E+04,1.63E+05,1.80E+05,1.83E+05,2.16E+05,
0.950025,3.42E+04,1.62E+05,1.80E+05,1.83E+05,2.16E+05,
0.95044004,3.41E+04,1.62E+05,1.80E+05,1.83E+05,2.16E+05,
0.95085509,3.40E+04,1.62E+05,1.80E+05,1.83E+05,2.16E+05,
0.95127013,3.39E+04,1.62E+05,1.80E+05,1.83E+05,2.16E+05,
0.95168517,3.38E+04,1.62E+05,1.80E+05,1.82E+05,2.16E+05,
0.95210021,3.37E+04,1.62E+05,1.80E+05,1.82E+05,2.16E+05,
0.95251525,3.36E+04,1.62E+05,1.79E+05,1.82E+05,2.16E+05,
0.95293029,3.35E+04,1.62E+05,1.79E+05,1.82E+05,2.16E+05,
0.95334533,3.34E+04,1.62E+05,1.79E+05,1.82E+05,2.15E+05,
0.95376038,3.33E+04,1.62E+05,1.79E+05,1.82E+05,2.15E+05,
0.95417542,3.32E+04,1.62E+05,1.79E+05,1.82E+05,2.15E+05,
0.95459046,3.31E+04,1.61E+05,1.79E+05,1.82E+05,2.15E+05,
0.9550055,3.30E+04,1.61E+05,1.79E+05,1.82E+05,2.15E+05,
0.95542054,3.29E+04,1.61E+05,1.79E+05,1.82E+05,2.15E+05,
0.95583558,3.28E+04,1.61E+05,1.79E+05,1.82E+05,2.15E+05,
0.95625063,3.27E+04,1.61E+05,1.79E+05,1.81E+05,2.15E+05,
0.95666567,3.26E+04,1.61E+05,1.79E+05,1.81E+05,2.15E+05,
0.95708071,3.25E+04,1.61E+05,1.79E+05,1.81E+05,2.15E+05,
0.95749575,3.24E+04,1.61E+05,1.78E+05,1.81E+05,2.15E+05,
0.95791079,3.23E+04,1.61E+05,1.78E+05,1.81E+05,2.14E+05,
0.95832583,3.22E+04,1.61E+05,1.78E+05,1.81E+05,2.14E+05,
0.95874087,3.21E+04,1.61E+05,1.78E+05,1.81E+05,2.14E+05,
0.95915592,3.20E+04,1.60E+05,1.78E+05,1.81E+05,2.14E+05,
0.95957096,3.19E+04,1.60E+05,1.78E+05,1.81E+05,2.14E+05,
0.959986,3.18E+04,1.60E+05,1.78E+05,1.81E+05,2.14E+05,
0.96040104,3.17E+04,1.60E+05,1.78E+05,1.81E+05,2.14E+05,
0.96081608,3.16E+04,1.60E+05,1.78E+05,1.81E+05,2.14E+05,
0.96123112,3.15E+04,1.60E+05,1.78E+05,1.80E+05,2.14E+05,
0.96164616,3.14E+04,1.60E+05,1.78E+05,1.80E+05,2.14E+05,
0.96206121,3.13E+04,1.60E+05,1.77E+05,1.80E+05,2.14E+05,
0.96247625,3.12E+04,1.60E+05,1.77E+05,1.80E+05,2.13E+05,
0.96289129,3.11E+04,1.60E+05,1.77E+05,1.80E+05,2.13E+05,
0.96330633,3.10E+04,1.60E+05,1.77E+05,1.80E+05,2.13E+05,
0.96372137,3.09E+04,1.59E+05,1.77E+05,1.80E+05,2.13E+05,
0.96413641,3.08E+04,1.59E+05,1.77E+05,1.80E+05,2.13E+05,
0.96455146,3.07E+04,1.59E+05,1.77E+05,1.80E+05,2.13E+05,
0.9649665,3.06E+04,1.59E+05,1.77E+05,1.80E+05,2.13E+05,
0.96538154,3.05E+04,1.59E+05,1.77E+05,1.80E+05,2.13E+05,
0.96579658,3.05E+04,1.59E+05,1.77E+05,1.79E+05,2.13E+05,
0.96621162,3.04E+04,1.59E+05,1.77E+05,1.79E+05,2.13E+05,
0.96662666,3.03E+04,1.59E+05,1.77E+05,1.79E+05,2.13E+05,
0.9670417,3.02E+04,1.59E+05,1.76E+05,1.79E+05,2.12E+05,
0.96745675,3.01E+04,1.59E+05,1.76E+05,1.79E+05,2.12E+05,
0.96787179,3.00E+04,1.59E+05,1.76E+05,1.79E+05,2.12E+05,
0.96828683,2.99E+04,1.59E+05,1.76E+05,1.79E+05,2.12E+05,
0.96870187,2.98E+04,1.58E+05,1.76E+05,1.79E+05,2.12E+05,
0.96911691,2.97E+04,1.58E+05,1.76E+05,1.79E+05,2.12E+05,
0.96953195,2.96E+04,1.58E+05,1.76E+05,1.79E+05,2.12E+05,
0.96994699,2.95E+04,1.58E+05,1.76E+05,1.79E+05,2.12E+05,
0.97036204,2.94E+04,1.58E+05,1.76E+05,1.78E+05,2.12E+05,
0.97077708,2.94E+04,1.58E+05,1.76E+05,1.78E+05,2.12E+05,
0.97119212,2.93E+04,1.58E+05,1.76E+05,1.78E+05,2.12E+05,
0.97160716,2.92E+04,1.58E+05,1.76E+05,1.78E+05,2.11E+05,
0.9720222,2.91E+04,1.58E+05,1.75E+05,1.78E+05,2.11E+05,
0.97243724,2.90E+04,1.58E+05,1.75E+05,1.78E+05,2.11E+05,
0.97285229,2.89E+04,1.58E+05,1.75E+05,1.78E+05,2.11E+05,
0.97326733,2.88E+04,1.57E+05,1.75E+05,1.78E+05,2.11E+05,
