r,1,2,3
3.50139,30134.5735,39835.1452,40022.8718
3.506,30139.5149,39835.56,40021.5994
3.51061,30144.4007,39835.9681,40020.3387
3.51522,30149.2317,39836.3699,40019.0895
3.51983,30154.0084,39836.7652,40017.8518
3.52444,30158.7315,39837.1543,40016.6253
3.52906,30163.4015,39837.5373,40015.41
3.53367,30168.0191,39837.9142,40014.2058
3.53828,30172.5849,39838.2851,40013.0125
3.54289,30177.0994,39838.6502,40011.83
3.5475,30181.5632,39839.0095,40010.6583
3.55211,30185.9768,39839.3631,40009.4972
3.55672,30190.3409,39839.711,40008.3466
3.56133,30194.656,39840.0535,40007.2064
3.56594,30198.9227,39840.3905,40006.0765
3.57056,30203.1414,39840.7222,40004.9568
3.57517,30207.3128,39841.0487,40003.8471
3.57978,30211.4374,39841.3699,40002.7474
3.58439,30215.5156,39841.6861,40001.6576
3.589,30219.5481,39841.9972,40000.5775
3.59361,30223.5352,39842.3034,39999.5072
3.59822,30227.4777,39842.6048,39998.4464
3.60283,30231.3758,39842.9013,39997.395
3.60744,30235.2302,39843.1932,39996.3531
3.61206,30239.0414,39843.4804,39995.3204
3.61667,30242.8097,39843.7631,39994.2969
3.62128,30246.5358,39844.0412,39993.2825
3.62589,30250.22,39844.3149,39992.2771
3.6305,30253.8629,39844.5843,39991.2806
3.63511,30257.4649,39844.8494,39990.293
3.63972,30261.0264,39845.1103,39989.314
3.64433,30264.548,39845.367,39988.3437
3.64894,30268.0301,39845.6197,39987.382
3.65356,30271.4731,39845.8683,39986.4288
3.65817,30274.8774,39846.1129,39985.4839
3.66278,30278.2436,39846.3537,39984.5473
3.66739,30281.572,39846.5906,39983.6189
3.672,30284.863,39846.8238,39982.6987
3.67661,30288.1171,39847.0532,39981.7865
3.68122,30291.3347,39847.279,39980.8823
3.68583,30294.5162,39847.5012,39979.986
3.69044,30297.6621,39847.7199,39979.0975
3.69506,30300.7726,39847.935,39978.2168
3.69967,30303.8482,39848.1468,39977.3437
3.70428,30306.8893,39848.3551,39976.4782
3.70889,30309.8964,39848.5601,39975.6202
3.7135,30312.8697,39848.7619,39974.7696
