r,1,2,3,4,5,6,7,8
1.8089,-174.4638937,42.94766565,58.7255204,42.44986993,-56.00077587,89.72258218,82.33806263,-167.4082764
1.8132,-174.3055672,42.50161581,59.44709227,42.96156237,-56.00111405,89.77807184,82.5318986,-167.4108067
1.8175,-174.141434,42.05431444,60.16914876,43.47404115,-56.00141813,89.83416732,82.72567466,-167.4126227
1.8218,-173.9714255,41.60457398,60.89168788,43.9870706,-56.00166662,89.89080408,82.91952496,-167.4137144
1.8261,-173.7954729,41.15120687,61.61470767,44.50041503,-56.00183804,89.94791759,83.11358362,-167.4140719
1.8304,-173.6135076,40.69302555,62.33820616,45.01383876,-56.00191087,90.0054433,83.30798478,-167.4136852
1.8347,-173.4254609,40.22884245,63.06218137,45.52710611,-56.00186363,90.0633167,83.50286257,-167.4125443
1.839,-173.2312639,39.75747002,63.78663134,46.0399814,-56.00167481,90.12147325,83.69835111,-167.4106393
1.8433,-173.0308481,39.27772069,64.51155409,46.55222894,-56.00132293,90.1798484,83.89458455,-167.4079601
1.8476,-172.8241447,38.78840691,65.23694765,47.06361305,-56.00078648,90.23837764,84.09169701,-167.4044969
1.8519,-172.6110849,38.28834111,65.96281006,47.57389805,-56.00004397,90.29699643,84.28982262,-167.4002396
1.8562,-172.3916339,37.77686119,66.68910693,48.08289591,-55.99908978,90.35563872,84.48906124,-167.3951883
1.8605,-172.1659139,37.2568832,67.41565279,48.59064089,-55.9979923,90.41423146,84.68935283,-167.3893897
1.8648,-171.9340932,36.73281473,68.14221808,49.09723205,-55.99684153,90.47269951,84.89059072,-167.3829043
